id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
bK14UH6D,3695411,"       (2014 UD176)","2014 UD176",,,Y,N,24.8,,,,,,,,,,,,,,,,,,,"JPL 11",2459000.5,59000,20200531.0000000,J2000,.4305153950284419,1.184655149553687,.6746428698711038,8.48314324965979,28.93671594075844,265.9057836436189,170.7958984188446,1.694667429236271,.7643920366950083,2458777.059814571967,20191020.5598146,470.9625201703137,1.28942510655801,.000333096,0.12963097032,3.54088,5.244,9.9498E-5,.00011632,5.1735E-5,.0019075,.00044886,.0005492,.24528,.0001664,.00011259,.28797,.069368,APO,"Otto Matic",27,2014-10-29,2014-11-25,57,,,6,.49394,,,,,
bK14UH6E,3695417,"       (2014 UE176)","2014 UE176",,,Y,N,23.4,,,,,,,,,,,,,,,,,,,"JPL 12",2459000.5,59000,20200531.0000000,J2000,.5718618852843136,2.498479031045451,1.069694102008474,3.475796509692692,252.3866482678026,131.8517552075012,150.2508013519272,3.927263960082427,.2495689262781693,2458398.458697853042,20181006.9586979,1442.487273430604,3.94931491699002,.0872415,33.951774555,1.56039,3.217,.00022017,.0012044,3.4474E-5,.0014524,.0090051,.010418,.40367,.0018931,.00018046,1.1821,1.043,AMO,"Otto Matic",32,2014-10-29,2014-11-30,74,,,7,.41683,,,,,
bK14UH6F,3695416,"       (2014 UF176)","2014 UF176",,,Y,N,20.3,,,,,,,,,,,,,,,,,,,"JPL 8",2459000.5,59000,20200531.0000000,J2000,.5207081693463977,2.614651351488774,1.25318103277597,9.936831381896747,175.2281063751203,150.465440539276,142.0516657824509,3.976121670201579,.2331220718838057,2458391.155442298689,20180929.6554423,1544.255321218292,4.22794064673044,.257289,100.12916013,1.47492,3.182,2.9824E-6,3.1627E-6,9.3135E-6,.00021814,.0013091,.00078581,.00083874,4.8095E-6,4.2298E-7,.0025317,.0028019,AMO,"Otto Matic",1343,2014-10-29,2018-07-03,27,,,3,.45151,,,,,
bK14UH6G,3695418,"       (2014 UG176)","2014 UG176",,,Y,N,21.5,,,,,,,0.421,,0.025,,,,,,,,,0.125,"JPL 3",2456960.5,56960,20141030.0000000,J2000,.7156540297160873,2.753971288613832,.7830806381949375,16.37192327378125,87.83906105724479,15.41855269005706,351.7228469451165,4.724861939032726,.215657696239334,2456998.880976887083,20141207.3809769,1669.312091697747,4.57032742422381,.161011,62.66065087,.592244,2.864,.016462,.15423,.0014813,.19876,.38992,.43483,.76516,.2646,.018116,.32397,140.23,APO,"Otto Matic",6,2014-10-25,2014-10-31,16,,,9,.19198,,,,,
bK14UJ1L,3695419,"       (2014 UL191)","2014 UL191",,,Y,N,24.4,,,,,,,,,,,,,,,,,,,"JPL 5",2456961.5,56961,20141031.0000000,J2000,.6504351017064841,1.756201278324279,.6139063212403691,2.068892247580559,232.5871481878306,74.1368789380728,21.146925671215,2.898496235408188,.4234894937500617,2456911.565052419705,20140911.0650524,850.0801207891774,2.327392527828,.00958923,3.7318406391,2.38527,3.845,.00088497,.0035603,.00030966,.0031128,.0044762,.0044973,.077331,.0058761,.0012878,.030757,2.585,APO,"Otto Matic",4,2014-10-30,2014-11-03,96,,,8,.47529,,,,,
bK14UJ1P,3695420,"       (2014 UP191)","2014 UP191",,,Y,N,23.2,,,,,,,,,,,,,,,,,,,"JPL 10",2459000.5,59000,20200531.0000000,J2000,.2894264135846303,1.411200789137919,1.002762005889931,11.64201988193245,212.6253003201145,200.32192820,109.8064517385876,1.819639572385907,.5879235516184822,2458813.730051022274,20191126.2300510,612.3245088735835,1.67645313859982,.0224132,8.722545044,3.55869,4.664,.00032189,.00066045,1.5043E-5,.010993,.00023138,.0064029,.89975,.0008516,.00041273,1.3993,.42986,APO,"Otto Matic",24,2014-10-30,2014-11-23,40,,,7,.39887,,,,,
bK14UJ1Z,3695647,"       (2014 UZ191)","2014 UZ191",,,Y,N,21.4,,,,,,,,,,,,,,,,,,,"JPL 9",2459000.5,59000,20200531.0000000,J2000,.3450549799657938,1.097060005448815,.7185139872474006,24.82591486986974,44.0925147392675,160.2025336929049,150.3624295173796,1.47560602365023,.857745601961927,2458825.200436617274,20191207.7004366,419.7048625799651,1.14908928837773,.274369,106.77618373,3.4986,5.525,3.8032E-6,2.357E-6,2.6669E-6,.00022581,4.5349E-5,.0011103,.0034654,3.1703E-6,2.7643E-6,.0034839,.0013526,APO,"Otto Matic",352,2014-10-28,2015-10-15,33,,,4,.52209,,,,,
bK14UJ2A,3695652,"       (2014 UA192)","2014 UA192",,,Y,N,19.3,,,,,,,,,,,,,,,,,,,"JPL 32",2459000.5,59000,20200531.0000000,J2000,.4019610099982697,2.166204604716023,1.295474813941467,5.80275918995331,44.89514005156919,258.7991514231128,323.4994805758978,3.036934395490578,.3091397574718948,2459118.571255934852,20200926.0712559,1164.521842625594,3.18828704346501,.302221,117.61534657,2.26032,3.578,1.618E-7,9.4694E-8,4.0583E-7,8.6089E-6,4.9254E-5,4.9577E-5,1.3683E-5,1.3276E-7,2.0271E-8,5.1091E-5,7.6359E-5,AMO,"Otto Matic",2123,2014-08-31,2020-06-23,118,,,0,.59666,,,,,
bK14UJ2B,3695648,"       (2014 UB192)","2014 UB192",,,Y,N,22.7,,,,,,,,,,,,,,,,,,,"JPL 13",2459000.5,59000,20200531.0000000,J2000,.4551165284283717,2.240285511058655,1.220694546577259,9.682550145914885,57.76459827393922,3.529043207983815,233.2138789659928,3.25987647554005,.2939334544568218,2459431.842942123765,20210805.3429421,1224.767016280153,3.35322933957605,.23366,90.9334622,2.10488,3.475,.00018746,.00087176,5.505E-5,.0030129,.00040609,.0010834,.34809,.0012685,.00017157,1.436,.71489,AMO,"Otto Matic",29,2014-10-29,2014-11-27,48,,,6,.38724,,,,,
bK14UJ2C,3695653,"       (2014 UC192)","2014 UC192",,,Y,N,23.6,,,,,,,,,,,,,,,,,,,"JPL 10",2459000.5,59000,20200531.0000000,J2000,.3624410339039613,1.40758615491613,.8974191736194262,11.65844070744798,34.95522732571904,304.5585817948986,150.4716380562144,1.917753136212833,.5901896569437197,2458745.545281146695,20190919.0452811,609.9734140788738,1.6700161918655,.0130539,5.080186263,3.52246,4.646,.00027365,.00045115,9.7571E-5,.0084133,.00032063,.011998,.87418,.00061466,.00028375,1.3586,.29326,APO,"Otto Matic",23,2014-10-30,2014-11-22,39,,,7,.67074,,,,,
bK14UJ2D,3695649,"       (2014 UD192)","2014 UD192",,,Y,N,25.9,,,,,,,,,,,,,,,,,,,"JPL 6",2456962.5,56962,20141101.0000000,J2000,.5776639018809754,1.84922652303038,.7809951142748612,1.02708383906748,252.7941781239475,218.5700555487025,340.0187883005536,2.917457931785899,.3919393817283962,2457013.480362349229,20141221.9803623,918.5093838043319,2.51474163943691,.00792894,3.0857055798,2.24016,3.787,.0011524,.0043865,.00027853,.0014631,.013283,.011069,.081301,.0069205,.0013946,.026037,3.2682,APO,"Otto Matic",8,2014-10-30,2014-11-07,20,,,8,.56486,,,,,
bK14UJ2E,3695650,"       (2014 UE192)","2014 UE192",,,Y,N,24.1,,,,,,,,,,,,,,,,,,,"JPL 9",2456965.5,56965,20141104.0000000,J2000,.355047444169046,1.739816027677741,1.122098793726417,1.779203369008299,270.2128151270072,117.9056804875417,5.443898142617514,2.357533261629065,.4294860703993382,2456952.824622338611,20141022.3246223,838.211119781534,2.29489697407675,.129686,50.46990062,3.09746,4.071,.0010104,.0032396,.00033153,.0044373,.017869,.010137,.01182,.0043898,.0011996,.0085336,2.3412,AMO,"Otto Matic",21,2014-10-30,2014-11-20,29,,,8,.39546,,,,,
bK14UJ2F,3695654,"       (2014 UF192)","2014 UF192",,,Y,N,24.5,,,,,,,,,,,,,,,,,,,"JPL 4",2456962.5,56962,20141101.0000000,J2000,.4574086091509327,1.587441640053057,.8613321673681128,7.769301062724075,29.7920405881584,79.17321734490069,333.2535589046856,2.313551112738002,.4927849342333155,2457016.776093356886,20141225.2760934,730.5418144734783,2.00011448178913,.053111,20.66920787,2.87639,4.251,.0017972,.0047942,.00026515,.028172,.0097371,.024013,.14462,.0069871,.0022324,.047807,3.3094,APO,"Otto Matic",3,2014-10-30,2014-11-02,47,,,8,.79134,,,,,
