id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0000433,2000433,"   433 Eros (A898 PA)",433,Eros,,Y,N,10.4,0.46,,,,,,16.84,34.4x11.2x11.2,0.25,5.270,4.463e-04,0.921,0.531,,S,S,,0.06,"JPL 658",2459000.5,59000,20200531.0000000,J2000,.2229512647434284,1.458045729081037,1.132972589728666,10.83054121829922,304.2993259000444,178.8822959227224,271.0717325705167,1.783118868433408,.5598186418120109,2459159.351922368362,20201105.8519224,643.0654021001488,1.76061711731731,.148623,57.83961291,3.2865,4.582,9.6497E-9,2.1374E-10,1.4063E-8,1.1645E-6,3.8525E-6,4.088E-6,1.4389E-6,2.6139E-10,1.231E-10,2.5792E-6,1.414E-7,AMO,Giorgini,46330,1893-10-29,2020-09-03,8767,4,2,0,.28397,,,,,
a0000719,2000719,"   719 Albert (A911 TB)",719,Albert,,Y,N,15.5,,,,,,,,,,5.801,,,,,S,,,,"JPL 214",2459000.5,59000,20200531.0000000,J2000,.5465584653041263,2.63860206439375,1.196451769530403,11.56748478123323,183.8669499802364,156.17633771,140.2734217745985,4.080752359257098,.2299551959241748,2458390.496728663387,20180928.9967287,1565.522355575327,4.28616661348481,.203482,79.18908994,1.41794,3.140,2.1784E-8,2.5313E-9,5.8116E-8,2.9108E-6,1.6575E-5,1.6827E-5,2.5213E-6,3.9148E-9,3.309E-10,1.0306E-5,2.2528E-6,AMO,"Otto Matic",39593,1911-10-04,2020-02-27,1874,,,0,.39148,,,,,
a0000887,2000887,"   887 Alinda (A918 AA)",887,Alinda,,Y,N,13.8,-0.12,,,,,,4.2,,0.31,73.97,,0.832,0.436,,,S,,,"JPL 266",2459000.5,59000,20200531.0000000,J2000,.5703317184308986,2.473736929707675,1.062886295641521,9.393855031979152,110.4342521969208,350.4955456805043,294.5791651788778,3.884587563773828,.2533225231442171,2459258.751157493319,20210213.2511575,1421.113273039094,3.89079609319396,.082217,31.99638989,1.31457,3.221,4.3543E-8,6.0468E-9,1.0944E-7,4.6115E-6,2.6493E-5,2.7378E-5,9.6421E-6,9.4955E-9,9.2884E-10,3.8951E-5,5.2107E-6,AMO,"Otto Matic",37472,1918-02-03,2020-09-07,1424,,,0,.48159,,,,,
a0001036,2001036,"  1036 Ganymed (A924 UB)",1036,Ganymed,,Y,N,9.4,0.30,,,,,,37.675,,0.238,10.297,,0.842,0.417,,S,S,,0.399,"JPL 794",2459000.5,59000,20200531.0000000,J2000,.5330461170258332,2.664724624258409,1.244303510354342,26.67764140004,215.5468276713862,132.3646326521057,4.817744371561909,4.085145738162476,.2265820861894486,2458979.237311265050,20200509.7373113,1588.828164019104,4.34997443947736,.344956,134.24652652,1.9529,3.035,2.4193E-8,2.0851E-9,6.4477E-8,4.0473E-6,7.1529E-6,7.5739E-6,2.3009E-6,3.1965E-9,2.6594E-10,1.0137E-5,1.8648E-6,AMO,"Otto Matic",35027,1924-10-23,2020-09-16,6249,0,1,0,.38525,,,,,
a0001221,2001221,"  1221 Amor (1932 EA1)",1221,Amor,,Y,N,17.7,,,,,,,1.0,,,,,,,,,,,,"JPL 101",2459000.5,59000,20200531.0000000,J2000,.4352849480969389,1.919498150734781,1.083969497820022,11.8765395826284,171.3270073161356,26.69479191018597,38.52241014417849,2.755026803649541,.3706146024716492,2458896.558034715118,20200217.0580347,971.3594596627876,2.65943726122598,.107451,41.81670567,2.21364,3.781,3.4983E-8,9.5616E-10,6.7525E-8,4.9915E-6,2.362E-5,2.5439E-5,8.1275E-6,1.3724E-9,2.7692E-10,2.1913E-5,7.258E-7,AMO,"Otto Matic",32319,1932-03-12,2020-09-05,540,,,0,.45568,,,,,
a0001566,2001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,16.9,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 119",2459000.5,59000,20200531.0000000,J2000,.8270213517584103,1.078168924356222,.186500203111228,22.82210584381254,87.9975459324354,31.39333873322229,192.0831791807477,1.969837645601215,.8803874816638403,2459191.230586607055,20201207.7305866,408.9108574324997,1.11953691288843,.0342447,13.327009899,3.21481,5.298,3.1066E-8,2.7933E-9,3.3477E-8,1.0278E-5,3.6595E-6,5.932E-6,6.1861E-6,5.1034E-9,3.4213E-9,7.7365E-6,1.5891E-6,APO,"Otto Matic",26002,1949-07-01,2020-09-08,1052,10,13,0,.34334,,,-3.052890990344277E-15,,
a0001580,2001580,"  1580 Betulia (1950 KA)",1580,Betulia,,Y,N,14.7,0.00,,,,,,5.8,,0.08,6.1324,,0.656,0.249,,,C,,,"JPL 231",2459000.5,59000,20200531.0000000,J2000,.4873502364761739,2.197150031438465,1.126368444043296,52.09207037962277,62.29781712181257,159.5179483080446,195.0724539815504,3.267931618833634,.3026317600165265,2459545.477652079356,20211126.9776521,1189.564505656448,3.25685011815592,.136136,52.98004712,1.86223,3.065,2.2741E-8,2.7446E-10,5.0021E-8,9.5166E-6,2.5227E-6,7.2733E-6,2.1045E-6,4.0821E-10,5.6705E-11,6.9886E-6,2.2289E-7,AMO,"Otto Matic",25404,1950-05-22,2019-12-10,1220,5,6,0,.51862,,,,,
a0001620,2001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,15.3,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 609",2459000.5,59000,20200531.0000000,J2000,.3354548020109591,1.245666863784177,.8278019326218434,13.3370434846758,337.1869752155534,276.956067645158,235.1126416339228,1.66353179494651,.7089264923814854,2459176.664044803214,20201123.1640448,507.8100534664147,1.39030815459662,.0303535,11.812671595,3.45747,5.074,1.1323E-8,1.5884E-10,1.4171E-8,2.5705E-6,2.6329E-6,3.4911E-6,3.0666E-6,2.1212E-10,1.3559E-10,4.3566E-6,9.7128E-8,APO,"Otto Matic",25024,1951-08-31,2020-03-05,4793,3,4,0,.40639,,,,,
a0001627,2001627,"  1627 Ivar (1929 SH)",1627,Ivar,,Y,N,12.7,0.60,,,,,,9.12,,0.15,4.795,,0.872,0.459,,S,S,,,"JPL 1011",2459000.5,59000,20200531.0000000,J2000,.3967830583744957,1.86327294504367,1.123957807322788,8.451869889021321,133.1193427586828,167.7934626032436,256.5069001498996,2.602588082764551,.3875157486110295,2459267.568113285847,20210222.0681133,928.9945022630588,2.54344832926231,.111952,43.56835984,2.65747,3.879,1.3337E-8,1.815E-10,2.4798E-8,2.3953E-6,1.4166E-5,1.4064E-5,1.1972E-6,2.5352E-10,5.6622E-11,3.0829E-6,1.3574E-7,AMO,"Otto Matic",33143,1929-09-25,2020-06-22,7298,3,1,0,.35876,,,,,
a0001685,2001685,"  1685 Toro (1948 OA)",1685,Toro,,Y,N,14.3,,,,,,,3.4,,0.31,10.1995,,0.880,0.470,,S,S,,,"JPL 491",2459000.5,59000,20200531.0000000,J2000,.4358371101234201,1.367586471676899,.7715415360173549,9.383132281270342,274.2452382733312,127.2065882952966,290.2506511775094,1.963631407336444,.6162712104327692,2459113.679632021931,20200921.1796320,584.1583930996781,1.59933851635778,.0506645,19.717103465,3.47931,4.715,5.7556E-9,8.1654E-10,7.8405E-9,3.3104E-6,1.6385E-5,1.6564E-5,2.0642E-6,1.1724E-9,5.5193E-10,3.3759E-6,5.2317E-7,APO,"Otto Matic",26348,1948-07-17,2020-09-05,3002,7,2,0,.32086,,,-3.097775713788239E-15,,
a0001862,2001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,16.25,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"JPL 308",2459000.5,59000,20200531.0000000,J2000,.5599167398990702,1.470345437077941,.6470744134237867,6.35473160977809,35.62713125014458,285.9759580870181,88.54647870988587,2.293616460732095,.55280887491436,2458840.324426256537,20191222.8244263,651.2196463122456,1.78294222125187,.0258141,10.046073297,3.07104,4.414,1.3185E-8,8.2996E-10,1.956E-8,3.3105E-6,2.3987E-5,2.4893E-5,3.4486E-6,1.2947E-9,4.6806E-10,6.1038E-6,5.5138E-7,APO,"Otto Matic",32581,1930-12-13,2020-02-25,1689,8,9,0,.48568,,,-3.770246513203781E-15,,
a0001863,2001863,"  1863 Antinous (1948 EA)",1863,Antinous,,Y,N,15.3,,,,,,,2.1,,0.24,7.453,,0.763,0.359,,Sq,SU,,,"JPL 190",2459000.5,59000,20200531.0000000,J2000,.6065072164249918,2.258411530875751,.8886686397421947,18.40043615035326,346.4403095424797,268.0670185998341,69.81354910345377,3.628154422009306,.2904018977314863,2458760.096787593980,20191003.5967876,1239.661320439669,3.39400772194297,.182709,71.10486153,2.02021,3.298,2.6736E-8,1.6246E-9,6.035E-8,6.1135E-6,1.1461E-5,1.1857E-5,3.3718E-6,2.61E-9,3.1336E-10,1.1511E-5,1.3377E-6,APO,"Otto Matic",26455,1948-03-05,2020-08-09,1013,,,0,.48957,,,,,
a0001864,2001864,"  1864 Daedalus (1971 FA)",1864,Daedalus,,Y,N,14.7,,,,,,,3.7,,0.273,8.572,,0.830,0.500,,Sr,SQ,,,"JPL 543",2459000.5,59000,20200531.0000000,J2000,.6144701472617778,1.460916421388319,.563226892800689,22.2119602234901,6.621948090247717,325.6333775511697,221.2316225234122,2.358605949975948,.5581693920840036,2459249.113376950815,20210203.6133770,644.9654981185722,1.76581929669698,.269089,104.72136613,3.11932,4.336,3.3702E-8,3.3359E-9,4.9307E-8,4.4746E-6,7.4802E-6,6.864E-6,5.952E-6,5.3857E-9,1.9118E-9,1.1193E-5,2.2091E-6,APO,"Otto Matic",17978,1971-03-24,2020-06-12,2557,1,0,0,.40705,,,,,
a0001865,2001865,"  1865 Cerberus (1971 UA)",1865,Cerberus,,Y,N,16.7,,,,,,,1.2,,0.22,6.8039,,0.790,0.442,,S,S,,,"JPL 331",2459000.5,59000,20200531.0000000,J2000,.4668531143213238,1.079993933536221,.5757954022166996,16.09595477620721,212.9201787526029,325.24549886,3.320367440209756,1.584192464855742,.8781568631971943,2458996.718935842372,20200527.2189358,409.9495375909398,1.1223806641778,.156542,60.92145014,3.40788,5.592,3.8493E-8,1.17E-9,4.1476E-8,3.9514E-6,9.8202E-6,1.074E-5,8.9505E-6,1.7162E-9,1.427E-9,1.019E-5,6.6615E-7,APO,"Otto Matic",17848,1971-10-26,2020-09-06,1927,,,0,.42603,,,,,
a0001866,2001866,"  1866 Sisyphus (1972 XA)",1866,Sisyphus,,Y,N,12.4,,,,,,,8.48,,0.15,2.400,,,,,S,,,,"JPL 714",2459000.5,59000,20200531.0000000,J2000,.5380833050933933,1.893699209971067,.8747312802170873,41.19929068817949,63.49079971436997,293.0630044424317,104.1846730289839,2.912667139725046,.3782139792940755,2458725.035107815313,20190829.5351078,951.8421309332052,2.60600172740097,.104589,40.70290113,3.25074,3.513,3.2667E-8,2.2335E-9,6.19E-8,4.3776E-6,6.1649E-6,6.3143E-6,5.554E-6,3.4353E-9,6.6913E-10,1.4363E-5,1.684E-6,APO,"Otto Matic",23911,1955-01-26,2020-07-14,4569,0,1,0,.35628,,,,,
a0001915,2001915,"  1915 Quetzalcoatl (1953 EA)",1915,Quetzalcoatl,,Y,N,18.97,0.10,,,,,,0.5,,0.21,4.9,,0.784,0.430,,,SMU,,,"JPL 11",2459000.5,59000,20200531.0000000,J2000,.5705651799672322,2.543415980989979,1.092231384064897,20.40461297143561,162.9367848834301,347.8324357485029,255.5935016573088,3.994600577915061,.2429841695996721,2459430.184363860847,20210803.6843639,1481.577999888293,4.05633949319177,.10802,42.0381434,1.06215,3.122,2.2511E-7,8.2778E-8,5.9434E-7,7.1549E-5,6.3678E-5,9.2752E-5,.0001619,1.3001E-7,1.1862E-8,.00068722,7.2329E-5,AMO,"Otto Matic",18842,1953-03-09,2004-10-09,51,0,1,0,.69421,,,,,
a0001916,2001916,"  1916 Boreas (1953 RA)",1916,Boreas,,Y,N,14.8,,,,,,,3.5,,,3.4746,,0.852,0.407,,S,S,,,"JPL 261",2459000.5,59000,20200531.0000000,J2000,.4496411673416978,2.27308656038863,1.251013265906762,12.88010266246959,340.59907231925,335.8670314386865,179.6982275419104,3.295159854870498,.2875941929329207,2458375.667399211625,20180914.1673992,1251.763800682747,3.42714250700273,.252842,98.39852114,2.07022,3.440,3.6921E-8,2.9537E-9,8.4533E-8,4.6121E-6,1.3148E-5,1.3601E-5,4.895E-6,4.2818E-9,5.6056E-10,1.622E-5,2.4399E-6,AMO,"Otto Matic",24369,1953-09-01,2020-05-21,1578,,,0,.46419,,,,,
a0001917,2001917,"  1917 Cuyo (1968 AA)",1917,Cuyo,,Y,N,14.3,,,,,,,5.7,,0.195,2.6890,,,,,Sl,,,,"JPL 464",2459000.5,59000,20200531.0000000,J2000,.5055075483002139,2.149076811606577,1.062702261462495,23.95916219474627,188.3070349861022,194.5059486527605,254.6226996944027,3.235451361750658,.3128428017124625,2459337.337861471561,20210502.8378615,1150.737680488108,3.15054806430694,.0727329,28.305462693,2.24402,3.435,3.2516E-8,5.312E-9,7.0339E-8,4.0364E-6,7.7812E-6,8.3342E-6,7.2288E-6,7.9973E-9,1.1599E-9,2.4165E-5,4.2665E-6,AMO,"Otto Matic",24229,1954-05-06,2020-09-05,2345,0,2,0,.44474,,,,,
a0001943,2001943,"  1943 Anteros (1973 EC)",1943,Anteros,,Y,N,15.6,,,,,,,2.3,,0.17,2.86923,,0.841,0.444,,L,S,,,"JPL 493",2459000.5,59000,20200531.0000000,J2000,.2559951665234735,1.430462184118468,1.064270779089529,8.706205387221706,246.3297681041333,338.3739691844634,188.2367863578593,1.796653589147407,.576088892933226,2459298.654010169485,20210325.1540102,624.9035598777415,1.71089270329293,.0623068,24.247937356,3.19489,4.640,2.4148E-8,1.0779E-9,3.4604E-8,2.8365E-6,1.6785E-5,1.7819E-5,6.3885E-6,1.3538E-9,6.5116E-10,1.1166E-5,7.0633E-7,AMO,"Otto Matic",17344,1973-03-10,2020-09-03,3468,,,0,.40927,,,,,
a0001980,2001980,"  1980 Tezcatlipoca (1950 LA)",1980,Tezcatlipoca,,Y,N,13.8,,,,,,,4.3,,0.25,7.24612,,0.955,0.455,,Sl,SU,,,"JPL 520",2459000.5,59000,20200531.0000000,J2000,.3645634487547003,1.709577917567304,1.086328296024089,26.86722511059119,246.573370426919,115.4449626614019,49.59813910881653,2.332827539110518,.4409310927937241,2458888.014988352115,20200208.5149884,816.4541033363115,2.23532950947655,.245963,95.72142071,3.41058,3.996,2.4773E-8,1.9578E-9,4.2268E-8,5.0861E-6,7.1352E-6,9.7236E-6,7.5477E-6,2.6716E-9,7.5743E-10,1.6977E-5,1.4025E-6,AMO,"Otto Matic",25243,1950-06-19,2019-07-30,3454,,,0,.32535,,,,,
a0001981,2001981,"  1981 Midas (1973 EA)",1981,Midas,,Y,Y,15.2,,,,,,,3.4,,,5.220,,,,,V,,,,"JPL 196",2459000.5,59000,20200531.0000000,J2000,.6503515168634104,1.776503077111733,.6211516061996013,39.82959015525149,356.8640429586872,267.8229778869985,312.7361103827806,2.931854548023865,.4162508446555145,2459114.046651554148,20200921.5466516,864.8631098825344,2.36786614615341,.00356774,1.3884573758,3.31416,3.611,2.4107E-8,2.7738E-9,4.3206E-8,7.6577E-6,1.8586E-6,5.1676E-6,1.5966E-6,4.5778E-9,9.7489E-10,3.9969E-6,2.0256E-6,APO,"Otto Matic",17256,1973-03-06,2020-06-03,967,3,1,0,.39355,,,,,
a0002059,2002059,"  2059 Baboquivari (1963 UA)",2059,Baboquivari,,Y,N,16.0,,,,,,,,,,,,,,,,,,,"JPL 257",2459000.5,59000,20200531.0000000,J2000,.5309192973039498,2.644147629104626,1.240318627892493,11.01363508200495,200.6943283291689,192.4325710192436,44.33041892431652,4.04797663031676,.2292321486158354,2458807.113430131876,20191119.6134301,1570.460348488532,4.29968610126908,.248663,96.77217971,1.40084,3.154,1.984E-8,4.4954E-9,5.2854E-8,3.2037E-6,1.5167E-5,1.5913E-5,2.4476E-6,6.882E-9,5.8458E-10,1.0931E-5,4.005E-6,AMO,"Otto Matic",20613,1963-10-16,2020-03-23,1411,,,0,.427,,,,,
a0002061,2002061,"  2061 Anza (1960 UA)",2061,Anza,,Y,N,16.56,,,,,,,2.6,,,6.712,,0.825,0.350,,,TCG:,,,"JPL 159",2459000.5,59000,20200531.0000000,J2000,.5357481029548782,2.264330203907595,1.051219592700668,3.799037150446937,207.3795930385512,157.0250735591936,180.5486414787968,3.477440815114522,.2892640313039813,2459620.872182854016,20220210.3721829,1244.537726924243,3.40735859527514,.0560308,21.805506436,1.99374,3.410,2.4547E-8,1.1026E-9,5.5652E-8,3.041E-6,5.1777E-5,5.1864E-5,2.038E-6,1.6934E-9,2.1129E-10,6.7178E-6,9.0906E-7,AMO,"Otto Matic",21731,1960-10-22,2020-04-21,932,,,0,.45996,,,,,
a0002062,2002062,"  2062 Aten (1976 AA)",2062,Aten,,Y,N,17.1,,,,,,,1.1,,0.26,42.15,,0.930,0.460,,Sr,S,,,"JPL 148",2455926.5,55926,20111231.0000000,J2000,.1827171340905242,.9667898316324987,.790140764328748,18.93368681084476,108.6003764318441,148.0354055966093,172.267762763347,1.143438898936249,1.036826199677172,2455760.350877980336,20110717.8508780,347.2134482250642,0.950618612525843,.113146,44.03302882,3.91861,6.184,4.0606E-9,8.7389E-10,3.5933E-9,6.0761E-6,5.23E-6,4.778E-6,2.4686E-6,1.0336E-9,1.4058E-9,2.3389E-6,4.7078E-7,ATE,Giorgini,21601,1955-12-17,2015-02-06,818,5,2,0,.43362,,,-1.196928636811954E-14,,
a0002063,2002063,"  2063 Bacchus (1977 HB)",2063,Bacchus,,Y,N,17.3,,,,,,,1.024,"1.11 x 0.53 x 0.50",0.203,14.904,,,,,Sq,,,0.020,"JPL 122",2459000.5,59000,20200531.0000000,J2000,.3495079305655313,1.078099128582201,.7012949332069335,9.431132049243017,33.08306686230173,55.36126144253465,273.7344517516468,1.454903323957469,.8804729770305474,2459098.476372357604,20200905.9763724,408.8711515191795,1.11942820402239,.0670798,26.105445766,3.76994,5.668,1.1853E-8,2.2426E-10,1.2773E-8,4.9254E-6,1.4724E-5,1.1737E-5,5.0464E-6,3.0265E-10,2.7473E-10,5.7397E-6,1.2758E-7,APO,"Otto Matic",15816,1977-04-24,2020-08-12,702,7,5,0,.39523,,,,,
a0002100,2002100,"  2100 Ra-Shalom (1978 RA)",2100,Ra-Shalom,,Y,N,16.3,0.12,,,,,,2.3,,0.13,19.797,,0.712,0.310,,Xc,C,,0.2,"JPL 269",2459000.5,59000,20200531.0000000,J2000,.4365426444514425,.8320476102381541,.4688233461552873,15.75298265231449,170.8036962680194,356.0511814841616,171.7620973925118,1.195271874321021,1.298619163904437,2458868.234820056027,20200119.7348201,277.2175322883897,0.758980238982586,.150184,58.44710728,3.77658,6.946,1.5499E-8,6.6087E-10,1.2887E-8,7.4673E-7,4.9414E-6,2.6958E-6,9.8124E-6,9.4937E-10,1.5472E-9,7.5087E-6,3.3028E-7,ATE,"Otto Matic",16407,1975-10-03,2020-09-03,1988,8,2,0,.35917,,,-3.397288661453602E-15,,
a0002101,2002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,18.8,,,,,,,0.6,,,,,,,,,,,,"JPL 41",2459000.5,59000,20200531.0000000,J2000,.7639969451829166,1.874841297944183,.4424682736120527,1.322472468079853,349.4862961993228,43.60816556300155,336.1573364011426,3.307214322276312,.3839346482579876,2459062.600838533427,20200801.1008385,937.6595773093536,2.56717201179837,.0115889,4.510052213,2.14319,3.550,6.5828E-8,1.3137E-9,1.2323E-7,9.094E-6,.00042964,.00042995,9.4212E-6,2.3174E-9,4.0354E-10,2.4543E-5,9.8554E-7,APO,"Otto Matic",30799,1936-02-12,2020-06-09,142,0,5,0,.74571,,,,,
a0002102,2002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,,Y,Y,16.0,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.045,"JPL 213",2459000.5,59000,20200531.0000000,J2000,.2991482365563772,1.290150777447911,.9042044474825296,64.00699453670016,94.36249204230198,61.54106202249491,81.98646989409679,1.676097107413293,.6725791054382059,2458878.601372416736,20200130.1013724,535.2530239033355,1.46544291280858,.0434654,16.915429718,3.76209,4.450,2.721E-8,1.0062E-9,3.5326E-8,1.1324E-5,1.6106E-6,8.7106E-6,7.0813E-6,1.3072E-9,7.868E-10,1.0501E-5,6.2615E-7,APO,"Otto Matic",16264,1975-12-30,2020-07-10,1346,1,0,0,.30462,,,,,
a0002135,2002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,,Y,Y,17.94,,,,,,,,,,,,,,,,,,,"JPL 23",2459000.5,59000,20200531.0000000,J2000,.5030135709911236,1.599967126945105,.7951619489520393,23.05815487260921,191.180068510808,290.909447879551,142.9273650356689,2.404772304938171,.4870095575886034,2458707.020410516449,20190811.5204105,739.20520529929,2.02383355318081,.00987559,3.8432833603,2.95412,4.134,1.277E-6,7.9328E-8,2.022E-6,5.1475E-5,.00034204,.00015646,.00070706,1.1923E-7,3.6219E-8,.0014303,5.4975E-5,APO,"Otto Matic",15749,1977-04-17,2020-05-30,61,,,1,.54865,,,,,
a0002201,2002201,"  2201 Oljato (1947 XC)",2201,Oljato,,Y,Y,15.3,,,,,,,1.80,,0.4328,26.,,,,,Sq,,,0.1,"JPL 214",2459000.5,59000,20200531.0000000,J2000,.7128855032041598,2.174083937761988,.6242110157824519,2.522424682279784,74.98699660901127,98.24728443201444,203.1157354536304,3.723956859741523,.3074607007751648,2459510.757942399909,20211023.2579424,1170.881348713426,3.20569842221335,.00312536,1.2162963512,1.24708,3.299,3.2933E-8,9.1255E-9,6.9522E-8,4.1077E-6,.00010929,.00010919,2.8835E-6,1.5631E-8,1.9358E-9,1.2325E-5,7.372E-6,APO,"Otto Matic",32412,1931-12-03,2020-08-29,986,0,5,0,.46877,,,,,
a0002202,2002202,"  2202 Pele (1972 RA)",2202,Pele,,Y,N,17.1,,,,,,,,,,,,,,,,,,,"JPL 65",2459000.5,59000,20200531.0000000,J2000,.5126978904939592,2.290252276174199,1.116044765480699,8.742264560774309,169.9571087470381,217.9079585256723,261.1584735391962,3.4644597868677,.2843669295623629,2459348.084462837924,20210513.5844628,1265.969993606625,3.46603694348152,.144166,56.10508222,2.01341,3.398,5.5939E-8,2.4573E-9,1.2822E-7,6.0352E-6,4.8521E-5,4.8641E-5,7.9386E-6,3.7171E-9,4.5765E-10,2.8313E-5,2.0374E-6,AMO,"Otto Matic",17455,1972-09-07,2020-06-22,289,,,0,.55743,,,,,
a0002212,2002212,"  2212 Hephaistos (1978 SB)",2212,Hephaistos,,Y,N,13.3,,,,,,,5.7,,0.163,20.,,0.766,0.397,,,SG,,,"JPL 456",2459000.5,59000,20200531.0000000,J2000,.8376666899459009,2.159195572535234,.3505093643438003,11.55177703381632,27.53023967518319,209.3949522884404,48.90011265950824,3.967881780726668,.3106462407135518,2458843.085854098266,20191225.5858541,1158.874477840398,3.17282540134264,.115888,45.10013296,1.16219,3.099,2.798E-8,5.3892E-9,6.0471E-8,5.7748E-6,1.9975E-5,1.979E-5,5.7109E-6,9.9036E-9,1.163E-9,1.7943E-5,4.3387E-6,APO,"Otto Matic",15316,1978-09-27,2020-09-02,2603,,,0,.42741,,,,,
a0002329,2002329,"  2329 Orthos (1976 WA)",2329,Orthos,,Y,N,14.5,,,,,,,,,,4.6473,,,,,,,,,"JPL 282",2459000.5,59000,20200531.0000000,J2000,.6540343084600522,2.409261624342074,.8335218639661636,24.47085287643591,169.2759267400825,146.0398929467939,264.3572354222704,3.985001384717984,.2635591688436756,2459363.389156910561,20210528.8891569,1365.917192634365,3.73967746101127,.094385,36.73181045,1.71766,3.097,2.9197E-8,6.9977E-9,7.0184E-8,5.6869E-6,9.1658E-6,9.7852E-6,4.1253E-6,1.1574E-8,1.1483E-9,1.6555E-5,5.951E-6,APO,"Otto Matic",16027,1976-05-31,2020-04-17,1432,,,0,.4302,,,,,
a0002340,2002340,"  2340 Hathor (1976 UA)",2340,Hathor,,Y,Y,20.2,,,,,,,0.3,,,3.350,,0.770,0.500,,Sq,CSU,,,"JPL 60",2453228.5,53228,20040811.0000000,J2000,.4498841655895494,.8438292455376517,.4642038295088863,5.854591233229053,211.5421370750162,39.92629416655726,42.10443294792183,1.223454661566417,1.271517126434761,2453195.386460219392,20040708.8864602,283.1263476642372,0.775157693810369,.00687373,2.6750495041,3.81114,6.882,1.0082E-7,5.9662E-10,8.4879E-8,8.1522E-6,2.6559E-5,2.8328E-5,1.2119E-5,8.6503E-10,1.3485E-9,9.5386E-6,3.0027E-7,ATE,Giorgini,13878,1976-10-25,2014-10-24,189,4,3,0,.4662,,,-3.028587184797805E-14,,
a0002368,2002368,"  2368 Beltrovata (1977 RA)",2368,Beltrovata,,Y,N,15.1,,,,,,,2.3,,0.27,5.9,,0.830,0.520,,,SQ,,,"JPL 246",2459000.5,59000,20200531.0000000,J2000,.4133577283680184,2.105121143792922,1.234953049855195,5.223634634550282,287.3374506950468,43.009093084586,2.434901598760393,2.975289237730648,.3226921747402497,2458992.954413867580,20200523.4544139,1115.614285626173,3.05438545003743,.233199,90.75405483,2.41869,3.625,6.5639E-8,6.9604E-9,1.3614E-7,5.2095E-6,5.4527E-5,5.7334E-5,3.2525E-5,9.8375E-9,1.6004E-9,.00010076,5.533E-6,AMO,"Otto Matic",15727,1977-09-04,2020-09-25,1120,,,0,.57968,,,,,
a0002608,2002608,"  2608 Seneca (1978 DA)",2608,Seneca,,Y,N,17.52,,,,,,,0.9,,0.21,8.,,0.826,0.454,,,S,,,"JPL 19",2459000.5,59000,20200531.0000000,J2000,.5709673236567876,2.516282772678057,1.079567532398386,14.67274945506941,167.3469303119492,37.38316178994204,240.1293104884265,3.952998012957728,.2469249118843584,2459485.954013516919,20210928.4540135,1457.933090884721,3.99160326046467,.132428,51.53700476,1.13883,3.172,1.5378E-7,2.8297E-8,3.8354E-7,2.2318E-5,4.0596E-5,.00012299,.0002054,4.4454E-8,4.1653E-9,.00083645,2.4593E-5,AMO,"Otto Matic",14778,1978-02-17,2018-08-04,71,,,1,.59421,,,,,
a0003102,2003102,"  3102 Krok (1981 QA)",3102,Krok,,Y,N,16.2,,,,,,,1.6,,,149.4,,0.834,0.521,,S,QRS,,,"JPL 245",2459000.5,59000,20200531.0000000,J2000,.4493181913097117,2.151154456058725,1.184601626634592,8.441614512036683,172.0638477363994,154.7422010278129,101.8877455319598,3.117707285482859,.3123896828234083,2458674.344076375735,20190709.8440764,1152.406816852224,3.15511791061526,.184359,71.74699203,2.27867,3.555,3.044E-8,2.1882E-9,6.4948E-8,3.5881E-6,2.3997E-5,2.4928E-5,6.2484E-6,3.1713E-9,4.7665E-10,1.9661E-5,1.7583E-6,AMO,"Otto Matic",14057,1981-08-21,2020-02-15,1342,,,0,.48815,,,,,
